User-ids      Usage         Counts      
mrobbert               3.3            1
mcaffee                3.2            4
pavelp                 2.8            2
mickelso               2.7            7
jahiduli               2.7            9
twaterman              2.3           47
htorres                2.3            9
xiaominghu             2.0            3
kjferguson             1.9          115
shuhualu               1.5            3
snehar                 1.5            1
sean                   1.4           10
antonb                 1.3            1
dswales                1.1            1
fillmore               1.1            3
mleduc                 1.1            6
ayarber                1.0            2
rward                  1.0           13
zzhou                  1.0           11
xiugao                 0.8            2
mariavm                0.8            3
aparsells              0.7            3
cchen                  0.6            3
cchristo               0.3            4
robertg                0.3            5
ajaruga                0.3            3
kyles                  0.3            1
torn                   0.1            3
emilanese              0.1            9
barthm                 0.1            3
arenchon               0.1            8
dangch                 0.1            4
enzminger              0.0            3
negins                 0.0            1
dhoward                0.0            1
jingchen               0.0            1
iway                   0.0            1
xufeng                 0.0            2
